Entity,Code,Year,Midpoint,Upper bound,Lower bound
Africa,,2015,124769270,187499000,62039536
Africa,,2016,159557740,239576820,79538670
Africa,,2017,214402240,323121570,105682900
Algeria,DZA,2015,354166.66,625000,83333.336
Algeria,DZA,2016,354166.66,625000,83333.336
Algeria,DZA,2017,354166.66,625000,83333.336
Asia,,2015,308973400000,437907700000,180039120000
Asia,,2016,327105940000,461617700000,192594170000
Asia,,2017,359183940000,505126260000,213241610000
Australia,AUS,2015,374170000,660299970,88040000
Australia,AUS,2016,327832300,578527550,77137000
Australia,AUS,2017,327568030,578061250,77074840
Bangladesh,BGD,2015,5737362400,8679875000,2794850000
Bangladesh,BGD,2016,5919462400,8965625000,2873299700
Bangladesh,BGD,2017,6227287600,9457625000,2996950000
Belize,BLZ,2015,333129380,468181820,198076910
Belize,BLZ,2016,71153850,100000000,42307692
Belize,BLZ,2017,71153850,100000000,42307692
Brazil,BRA,2015,4525583000,6360909300,2690256400
Brazil,BRA,2016,3855443000,5419091000,2291794700
Brazil,BRA,2017,3887785500,5464545300,2311025700
Brunei,BRN,2015,53333.336,80000,26666.668
Brunei,BRN,2016,180000,270000,90000
Brunei,BRN,2017,133333.34,200000,66666.67
Cambodia,KHM,2015,19025000,31000000,7050000
Cambodia,KHM,2016,80484830,139485010,21484664
Cambodia,KHM,2017,81568340,141400000,21736666
China,CHN,2015,181475080000,255644800000,107305360000
China,CHN,2016,181264500000,253235970000,109293030000
China,CHN,2017,198003620000,275012750000,120994510000
Colombia,COL,2015,160678320,225818180,95538456
Colombia,COL,2016,155244770,218181820,92307700
Colombia,COL,2017,155244770,218181820,92307700
Costa Rica,CRI,2015,173519340,243868180,103170520
Costa Rica,CRI,2016,194122610,272827260,115417944
Costa Rica,CRI,2017,194122610,272827260,115417944
Cuba,CUB,2015,265209800,372727260,157692300
Cuba,CUB,2016,326272700,458545440,194000000
Cuba,CUB,2017,364243000,511909100,216576910
Cyprus,CYP,2015,1650250,2357500,943000
Cyprus,CYP,2016,2222500,3175000,1270000
Cyprus,CYP,2017,2450000,3500000,1400000
Dominica,DMA,2015,66666.67,100000,33333.336
Dominica,DMA,2016,66666.67,100000,33333.336
Dominica,DMA,2017,66666.67,100000,33333.336
Dominican Republic,DOM,2015,30108392,42409092,17807692
Dominican Republic,DOM,2016,26874126,37863636,15884615
Dominican Republic,DOM,2017,26874126,37863636,15884615
East Timor,TLS,2015,70833.336,125000,16666.668
East Timor,TLS,2016,70833.336,125000,16666.668
East Timor,TLS,2017,70833.336,125000,16666.668
Ecuador,ECU,2015,26068183000,36636365000,15500000000
Ecuador,ECU,2016,27297202000,38363636000,16230770000
Ecuador,ECU,2017,28138110000,39545455000,16730769000
Egypt,EGY,2015,850000,1500000,200000
Egypt,EGY,2016,6533217,9181818,3884615.5
Egypt,EGY,2017,8732517,12272727,5192307.5
El Salvador,SLV,2015,70166216,98616456,41715972
El Salvador,SLV,2016,72751624,102249816,43253436
El Salvador,SLV,2017,74454780,104645460,44264104
Europe,,2015,4662568.5,6054696.5,3270440.5
Europe,,2016,6643650,8609295,4678005
Europe,,2017,6733606,8749429,4717783
European Union (27),,2015,4662568.5,6054696.5,3270440.5
European Union (27),,2016,6643650,8609295,4678005
European Union (27),,2017,6733606,8749429,4717783
Fiji,FJI,2015,1140166.6,1740000,540333.3
Fiji,FJI,2016,1140166.6,1740000,540333.3
Fiji,FJI,2017,1171666.8,1800000,543333.4
France,FRA,2015,2000817.6,2395209.5,1606425.8
France,FRA,2016,3001226.5,3592814.5,2409638.8
France,FRA,2017,3001226.5,3592814.5,2409638.8
Ghana,GHA,2015,333333.34,500000,166666.67
Ghana,GHA,2016,333333.34,500000,166666.67
Ghana,GHA,2017,333333.34,500000,166666.67
Guadeloupe,GLP,2015,400000,600000,200000
Guadeloupe,GLP,2016,133333.34,200000,66666.67
Guadeloupe,GLP,2017,133333.34,200000,66666.67
Guam,GUM,2015,646853.2,909090.94,384615.4
Guam,GUM,2016,646853.2,909090.94,384615.4
Guam,GUM,2017,646853.2,909090.94,384615.4
Guatemala,GTM,2015,552736000,776818200,328653820
Guatemala,GTM,2016,964393340,1355363600,573423100
Guatemala,GTM,2017,1064396900,1495909100,632884700
Guyana,GUY,2015,4915833.5,8675000,1156666.6
Guyana,GUY,2016,4250000,7500000,1000000
Guyana,GUY,2017,16373125,28893750,3852500
High-income countries,,2015,6289237500,8552260600,4026214700
High-income countries,,2016,6904792600,9371045000,4438540300
High-income countries,,2017,7520332000,10263913000,4776750000
Honduras,HND,2015,1617132800,2272727300,961538400
Honduras,HND,2016,1487762300,2090909200,884615360
Honduras,HND,2017,2037587500,2863636500,1211538400
India,IND,2015,30455437000,43120780000,17790095000
India,IND,2016,32658670000,46148870000,19168470000
India,IND,2017,40404193000,57028340000,23780045000
Indonesia,IDN,2015,30955848000,43978970000,17932724000
Indonesia,IDN,2016,37925220000,53888045000,21962396000
Indonesia,IDN,2017,38665960000,54980000000,22351923000
Iran,IRN,2015,1151808500,1618827300,684789760
Iran,IRN,2016,1380535800,1940281700,820789760
Iran,IRN,2017,2092472300,2940872700,1244071800
Italy,ITA,2015,605114.5,735329.4,474899.6
Italy,ITA,2016,756393.1,919161.7,593624.5
Italy,ITA,2017,706372.6,859281.44,553463.9
Japan,JPN,2015,65026576,77844310,52208836
Japan,JPN,2016,69078220,82694610,55461850
Japan,JPN,2017,70028616,83832340,56224900
Lebanon,LBN,2015,646853.2,909090.94,384615.4
Lebanon,LBN,2016,646853.2,909090.94,384615.4
Lebanon,LBN,2017,646853.2,909090.94,384615.4
Low-income countries,,2015,114952510,172450020,57455000
Low-income countries,,2016,137966660,206950000,68983330
Low-income countries,,2017,181300000,271950000,90650000
Lower-middle-income countries,,2015,105125160000,150625370000,59624944000
Lower-middle-income countries,,2016,120270910000,172226630000,68315210000
Lower-middle-income countries,,2017,135033225000,193126190000,76940255000
Madagascar,MDG,2015,114952510,172450020,57455000
Madagascar,MDG,2016,137966660,206950000,68983330
Madagascar,MDG,2017,181300000,271950000,90650000
Malaysia,MYS,2015,3284661000,4631805000,1937517200
Malaysia,MYS,2016,2640971300,3731490600,1550451700
Malaysia,MYS,2017,2664259000,3778670300,1549847800
Martinique,MTQ,2015,466666.66,700000,233333.33
Martinique,MTQ,2016,466666.66,700000,233333.33
Martinique,MTQ,2017,500000,750000,250000
Mauritius,MUS,2015,10500,20000,1000.00006
Mauritius,MUS,2016,11833.333,22000,1666.6667
Mauritius,MUS,2017,31833.334,52000,11666.667
Mexico,MEX,2015,8432441300,11850999000,5013884400
Mexico,MEX,2016,8267697700,11619467000,4915928000
Mexico,MEX,2017,9704728000,13639077000,5770379000
Myanmar,MMR,2015,1818296800,2727445200,909148400
Myanmar,MMR,2016,2708954600,4063432200,1354477300
Myanmar,MMR,2017,2152557000,3228835300,1076278500
Nicaragua,NIC,2015,1586730900,2230000000,943461570
Nicaragua,NIC,2016,1369905500,1925272700,814538430
Nicaragua,NIC,2017,1609888100,2262545400,957230800
Nigeria,NGA,2016,2833333.2,5000000,666666.7
Nigeria,NGA,2017,8500000,15000000,2000000
North America,,2015,16280869000,22430134000,10131602000
North America,,2016,16074326000,22112164000,10036487000
North America,,2017,18330919000,25311690000,11350147000
Northern Mariana Islands,MNP,2015,1487762.2,2090909,884615.4
Northern Mariana Islands,MNP,2016,1487762.2,2090909,884615.4
Northern Mariana Islands,MNP,2017,1487762.2,2090909,884615.4
Oceania,,2015,378417500,666487740,90347256
Oceania,,2016,331924770,584454100,79395464
Oceania,,2017,331552670,583826370,79278984
Oman,OMN,2015,13125000,18750000,7500000
Oman,OMN,2016,6125000,8750000,3500000
Pakistan,PAK,2015,8429167,14875000,1983333.4
Pakistan,PAK,2016,8854167,15625000,2083333.2
Pakistan,PAK,2017,9137500,16125000,2150000
Palau,PLW,2015,77916.664,137500,18333.332
Palau,PLW,2016,42500,75000,10000
Palau,PLW,2017,28333.334,50000,6666.667
Panama,PAN,2015,508631300,714846400,302416160
Panama,PAN,2016,435110720,611522700,258698740
Panama,PAN,2017,486776260,684138200,289414340
Papua New Guinea,PNG,2015,375333.34,580000,170666.67
Papua New Guinea,PNG,2016,42000,80000,4000.0002
Peru,PER,2015,1436320500,2018743700,853897200
Peru,PER,2016,1324444200,1861592800,787295360
Peru,PER,2017,1780208000,2502093800,1058322240
Philippines,PHL,2015,2387515400,3596566500,1178464400
Philippines,PHL,2016,2477057000,3724624100,1229490200
Philippines,PHL,2017,2629086200,3935101400,1323070800
Puerto Rico,PRI,2015,800000,1200000,400000
Puerto Rico,PRI,2016,800000,1200000,400000
Puerto Rico,PRI,2017,800000,1200000,400000
Saint Lucia,LCA,2015,700000,1050000,350000
Saint Lucia,LCA,2016,791333.3,1187000,395666.66
Saint Lucia,LCA,2017,290666.66,436000,145333.33
Samoa,WSM,2017,3150,6000,300
Saudi Arabia,SAU,2015,1118732500,1572272800,665192300
Saudi Arabia,SAU,2016,1556005100,2186818000,925192300
Saudi Arabia,SAU,2017,2535664400,3563636500,1507692300
Singapore,SGP,2015,4475976.5,7527718,1424235.4
Singapore,SGP,2016,4608485,7863909,1353061.5
Singapore,SGP,2017,4834771,8128304.5,1541237.8
South America,,2015,33081606000,46495597000,19667618000
South America,,2016,34026742000,47823737000,20229749000
South America,,2017,35564454000,49989170000,21139740000
South Korea,KOR,2015,356783260,501426140,212140380
South Korea,KOR,2016,374680160,526579520,222780780
South Korea,KOR,2017,332828740,467761340,197896160
Spain,ESP,2015,406386.44,566657.6,246115.22
Spain,ESP,2016,663530.5,922319,404742.03
Spain,ESP,2017,576006.44,797332.6,354680.28
Sri Lanka,LKA,2015,240325980,360539970,120112000
Sri Lanka,LKA,2016,207031380,311207400,102855370
Sri Lanka,LKA,2017,158600060,238116020,79084130
Suriname,SUR,2015,4463287,6272727.5,2653846.2
Suriname,SUR,2016,1882342.8,2645454.8,1119230.8
Suriname,SUR,2017,1940559.5,2727272.8,1153846.1
Taiwan,TWN,2015,1099637800,1587418000,611857500
Taiwan,TWN,2016,1238271400,1781454300,695088400
Taiwan,TWN,2017,1038237700,1500626400,575848960
Tanzania,TZA,2015,8268766,12403999,4133533
Tanzania,TZA,2016,11525200,17298000,5752400
Tanzania,TZA,2017,15021000,22540000,7502000
Thailand,THA,2015,19683030000,27811834000,11554223000
Thailand,THA,2016,22606066000,31942316000,13269816000
Thailand,THA,2017,23237046000,32839184000,13634907000
Tunisia,TUN,2017,129370.63,181818.19,76923.08
United Arab Emirates,ARE,2015,32375000,46250000,18500000
United Arab Emirates,ARE,2016,27300000,39000000,15600000
United Arab Emirates,ARE,2017,19687500,28125000,11250000
United States,USA,2015,2708629800,3355291000,2061968800
United States,USA,2016,2856022800,3534754600,2177291000
United States,USA,2017,2694904000,3336454700,2053353500
Upper-middle-income countries,,2015,246432070000,347103300000,145760830000
Upper-middle-income countries,,2016,249002570000,348629630000,149375520000
Upper-middle-income countries,,2017,269311700000,375452500000,163170900000
Vanuatu,VUT,2015,519482.53,730272.75,308692.3
Vanuatu,VUT,2016,733221.4,1031545.4,434897.44
Vanuatu,VUT,2017,646853.2,909090.94,384615.4
Venezuela,VEN,2015,881466750,1238818200,524115360
Venezuela,VEN,2016,1388276200,1951091000,825461570
Venezuela,VEN,2017,1584790100,2227272700,942307650
Vietnam,VNM,2015,29065667000,41877787000,16253549000
Vietnam,VNM,2016,33951156000,48876250000,19026063000
Vietnam,VNM,2017,38855990000,55875880000,21836106000
World,OWID_WRL,2015,358843740000,507693470000,209994020000
World,OWID_WRL,2016,377705100000,532386200000,223024020000
World,OWID_WRL,2017,413631970000,581342800000,245921190000