Entity,Code,Year,Banning of bullfighting
Argentina,ARG,2023,Banned
Bolivia,BOL,2023,Banned
Brazil,BRA,2023,Banned
Canada,CAN,2023,Partially banned
Chile,CHL,2023,Banned
China,CHN,2023,Not banned
Colombia,COL,2023,Not banned
Costa Rica,CRI,2023,Partially banned
Cuba,CUB,2023,Banned
Dominican Republic,DOM,2023,Partially banned
Ecuador,ECU,2023,Not banned
France,FRA,2023,Not banned
Guatemala,GTM,2023,Not banned
Honduras,HND,2023,Partially banned
India,IND,2023,Not banned
Italy,ITA,2023,Banned
Mexico,MEX,2023,Not banned
Nicaragua,NIC,2023,Partially banned
Panama,PAN,2023,Banned
Paraguay,PRY,2023,Banned
Peru,PER,2023,Not banned
Portugal,PRT,2023,Not banned
Spain,ESP,2023,Not banned
United Kingdom,GBR,2023,Banned
United States,USA,2023,Partially banned
Uruguay,URY,2023,Banned
Venezuela,VEN,2023,Not banned