Entity,Code,Year,Banning of chick culling
Australia,AUS,2023,Not banned
Austria,AUT,2023,Banned
Belgium,BEL,2023,Not banned
Bulgaria,BGR,2023,Not banned
Canada,CAN,2023,Not banned
Croatia,HRV,2023,Not banned
Cyprus,CYP,2023,Not banned
Czechia,CZE,2023,Not banned
Denmark,DNK,2023,Not banned
Estonia,EST,2023,Not banned
Finland,FIN,2023,Not banned
France,FRA,2023,Banned
Germany,DEU,2023,Banned
Greece,GRC,2023,Not banned
Hungary,HUN,2023,Not banned
Ireland,IRL,2023,Not banned
Italy,ITA,2023,Banned but not yet in effect
Latvia,LVA,2023,Not banned
Lithuania,LTU,2023,Not banned
Luxembourg,LUX,2023,Banned
Malta,MLT,2023,Not banned
Netherlands,NLD,2023,Not banned
New Zealand,NZL,2023,Not banned
Poland,POL,2023,Not banned
Portugal,PRT,2023,Not banned
Romania,ROU,2023,Not banned
Slovakia,SVK,2023,Not banned
Slovenia,SVN,2023,Not banned
Spain,ESP,2023,Not banned
Sweden,SWE,2023,Not banned
Switzerland,CHE,2023,Partially banned
United Kingdom,GBR,2023,Not banned
United States,USA,2023,Not banned