Entity,Code,Year,Fur farming status
Austria,AUT,2023,Banned
Belarus,BLR,2023,Not banned
Belgium,BEL,2023,Banned
Bosnia and Herzegovina,BIH,2023,Banned (not yet effective)
Bulgaria,BGR,2023,Not banned
Canada,CAN,2023,Partially banned
China,CHN,2023,Not banned
Croatia,HRV,2023,Banned
Cyprus,CYP,2023,Not banned
Czech Republic,,2023,Banned
Denmark,DNK,2023,Partially banned
Estonia,EST,2023,Banned (not yet effective)
Finland,FIN,2023,Not banned
France,FRA,2023,Partially banned
Germany,DEU,2023,Banned
Greece,GRC,2023,Not banned
Hungary,HUN,2023,Partially banned
Iceland,ISL,2023,Not banned
Ireland,IRL,2023,Banned
Israel,ISR,2023,Not banned
Italy,ITA,2023,Banned
Japan,JPN,2023,Partially banned
Latvia,LVA,2023,Banned (not yet effective)
Lithuania,LTU,2023,Not banned
Luxembourg,LUX,2023,Banned
Malta,MLT,2023,Not banned
Montenegro,MNE,2023,Not banned
Netherlands,NLD,2023,Banned
New Zealand,NZL,2023,Not banned
North Macedonia,MKD,2023,Banned
Norway,NOR,2023,Banned (not yet effective)
Poland,POL,2023,Not banned
Portugal,PRT,2023,Not banned
Romania,ROU,2023,Not banned
Russia,RUS,2023,Not banned
Serbia,SRB,2023,Banned
Slovakia,SVK,2023,Banned (not yet effective)
Slovenia,SVN,2023,Banned
Spain,ESP,2023,Partially banned
Sweden,SWE,2023,Partially banned
Switzerland,CHE,2023,Banned
Ukraine,UKR,2023,Not banned
United Kingdom,GBR,2023,Banned
United States,USA,2023,Not banned