Entity,Code,Year,Number of hens in cages,Number of cage-free hens
Algeria,DZA,2013,23132000,0
Argentina,ARG,2018,37736000,4664000
Armenia,ARM,2013,2500000,0
Australia,AUS,2018,11585573,9672359
Austria,AUT,2018,54753.992,6789495
Azerbaijan,AZE,2013,12294000,0
Bangladesh,BGD,2017,301000000,
Belarus,BLR,2013,17500000,0
Belgium,BEL,2018,3754130.2,5749997
Brazil,BRA,2018,158201600,8326400
Brunei,BRN,2016,2000000,
Bulgaria,BGR,2018,2761846.8,2223436.2
Canada,CAN,2018,23361626,3490817.8
Chile,CHL,2016,18620000,380000
China,CHN,2018,1212500000,37500000
Colombia,COL,2018,37675350,16146580
Croatia,HRV,2018,1416820.2,526691.75
Cuba,CUB,2013,10700000,0
Cyprus,CYP,2018,283669.9,114184.1
Czechia,CZE,2018,5498495.5,1102339.5
Denmark,DNK,2018,640000,3360000
Ecuador,ECU,2013,8000000,0
Egypt,EGY,2013,13300000,13300000
Estonia,EST,2018,785013.6,175835.36
Finland,FIN,2018,2262000,1638000
France,FRA,2018,29646992,18954634
Georgia,GEO,2013,2400000,0
Germany,DEU,2018,3142300,43757700
Ghana,GHA,2013,11500000,11500000
Hungary,HUN,2018,6505278,1549796.2
India,IND,2017,402976000,0
Indonesia,IDN,2017,166273000,
Iran,IRN,2018,66078000,0
Ireland,IRL,2018,1908530,1692470
Italy,ITA,2018,21200500,17699500
Japan,JPN,2018,131528056,7507944
Kazakhstan,KAZ,2018,12622500,2227500
Kyrgyzstan,KGZ,2013,3100000,0
Latvia,LVA,2018,2448562.2,411907.7
Libya,LBY,2013,10000000,0
Lithuania,LTU,2018,2669356.2,313164.72
Luxembourg,LUX,2018,0,114200
Malaysia,MYS,2017,109000000,
Malta,MLT,2018,333994.9,10685.08
Mexico,MEX,2020,211240420,1146891.5
Morocco,MAR,2013,45000000,0
Netherlands,NLD,2018,3523665.8,28509658
New Zealand,NZL,2018,2533274.8,1281898.1
Nigeria,NGA,2017,80500000,34500000
Norway,NOR,2020,387000,3913000
Pakistan,PAK,2017,148000000,
Papua New Guinea,PNG,2016,2000000,
Peru,PER,2018,27435000,2065000
Philippines,PHL,2017,98500000,
Poland,POL,2018,37969000,5031000
Portugal,PRT,2018,6108750,641250
Romania,ROU,2018,5524242,3385825.8
Russia,RUS,2018,196709090,196906
Saudi Arabia,SAU,2016,600000,
Singapore,SGP,2016,3000000,
Slovakia,SVK,2018,5097891.5,1044146.44
Slovenia,SVN,2018,643722.2,881685.8
South Africa,ZAF,2018,20307992,3305952.2
South Korea,KOR,2017,72710000,
Spain,ESP,2019,36154800,7405200
Sweden,SWE,2018,680000,7820000
Switzerland,CHE,2018,0,3024700
Taiwan,TWN,2016,36000000,
Tajikistan,TJK,2013,2753000,0
Thailand,THA,2017,93000000,
Turkey,TUR,2018,124323030,16953142
Turkmenistan,TKM,2013,3300000,0
Ukraine,UKR,2017,91200000,0
United Arab Emirates,ARE,2013,2550000,0
United Kingdom,GBR,2018,18122000,22878000
United States,USA,2020,257040670,79400000
Uruguay,URY,2016,2003760,273240
Uzbekistan,UZB,2013,25100000,0
Venezuela,VEN,2013,10600000,0
Vietnam,VNM,2016,63000000,