question,answer,source
Are there more chickens than people in the world?,"In fact, there are approximately 19 billion chickens in the world. That's almost three per person.",http://news-by-design.com/there-are-more-chickens-than-people-in-the-world/
Where do snow crab legs come from?,"Snow Crab. Chionoecetes opilio. Snow crabs live along the continental shelf at depths less than 200 m in the Bering Sea, the Chukchi Sea, and in the western Atlantic Ocean as far south as Maine; they are not present in the Gulf of Alaska.",http://www.afsc.noaa.gov/Education/oceanlife/crabs/snow_crab.htm
Is hair fur?,"It turns out though that hair and fur are chemically indistinguishable, both made up of keratin. The argument that is often cited as to why there must be a difference is that human hair will just keep growing forever, while most animal “fur” stops at a set length.",http://www.todayifoundout.com/index.php/2010/02/there-is-no-difference-between-fur-and-hair/
Where did bacon come from?,"However, well into the 16th Century in England, bacon or “bacoun” was colloquially used to refer to any kind of pork. In the 17th Century, we finally see “bacon” being used exclusively to refer to salted and smoked pork belly, what we would recognize as bacon.",http://www.republicofbacon.com/2012/02/29/bacon-history-time-to-hit-the-bacon-lecture-hall/
What kind of fish is in imitation crab meat?,"Imitation crab or surimi (its Japanese name) means minced fish. The mincing process was developed in Japan almost 1,000 years ago. Imitation crab is made from mild-flavored, white-fleshed fish, usually pollack and/or whiting. The fish is deboned, minced and formed into a paste.",http://www.tasteofhome.com/cooking-tips/ask-our-dietician/imitation-crab
How long is the gestation period of an elephant?,The gestation periods of other animal reveals that the length of the gestation period is largely a matter of the animal specie's size. Asian elephants have a gestation period of 645 days and African elephants 640 days.,http://www.sjsu.edu/faculty/watkins/gestation.htm
Is a mushroom a vegetable?,"A mushroom is neither a fruit nor a vegetable; technically mushrooms aren't even plants. They are a special type of fungus—a notion that puts some people off. If you don't mind the fungus part, though, mushrooms are a great addition to a healthy diet—not to mention totally delicious.",http://www.quickanddirtytips.com/health-fitness/healthy-eating/are-mushrooms-good-for-you
How many eggs does a hen lay in a year?,"A: The average hen lays one egg approximately every 26 hours, which is about 265 eggs per year.",http://educationstation.discoveryeducation.com/pdf/AEB%20FAQ%20Final%204-27-12.pdf
What kind of fruit do cashews come from?,"However, 'cashew apples' are not actually fruits in a scientific sense; the real fruit of the cashew tree is the kidney-shaped formation growing at the end. These fruits, also called drupes, are harvested and become what we know as a cashew nut.",http://parade.condenast.com/52654/linzlowe/where-the-heck-do-cashews-come-from/
Can a pig look up?,"Pigs have very short necks so they find it very had to look up at the sky. Remember they also have their eyes at the side of their heads. So now, quick experiment: Scrunch you head down to your shoulders, making your neck as short as possible.",http://microbiologyj11.imascientist.org.uk/2011/06/why-cant-pigs-physicly-look-up
Are cashews made from fruit?,"The true fruit of the cashew tree is a kidney or boxing-glove shaped drupe that grows at the end of the cashew apple. The drupe develops first on the tree, and then the pedicel expands to become the cashew apple. Within the true fruit is a single seed, the cashew nut.",http://en.m.wikipedia.org/wiki/Cashew
Can you give a dog chocolate?,"A small amount of chocolate will probably only give your dog an upset stomach with vomiting or diarrhea. With large amounts, theobromine can produce muscle tremors, seizures, an irregular heartbeat, internal bleeding or a heart attack. The onset of theobromine poisoning is usually marked by severe hyperactivity.",http://www.hillspet.com/dog-care/is-chocolate-bad-for-dogs.html
Do spring rolls have meat in them?,"A Vietnamese spring roll is different from a Chinese spring roll in that it is typically smaller and contains ground or chopped meats/seafood such as pork, crab, shrimp, chicken, taro or cassava, glass noodle, wood-ear fungi or oyster mushrooms and shredded carrots.",http://en.m.wikipedia.org/wiki/Spring_roll
What type of fish is sushi made from?,"Commonly used fish are tuna (maguro, shiro-maguro), Japanese amberjack, yellowtail (hamachi), snapper (kurodai), mackerel (saba), and salmon (sake). The most valued sushi ingredient is toro, the fatty cut of the fish.",http://en.m.wikipedia.org/wiki/Sushi
How many cows are there on Earth?,"Today there are about 1.5 billion cows in the world. In many different countries humans and cows have formed close relationships. In England, dairy farmer Mark Evans spends all of his waking time with his cows, milking, feeding, and otherwise nurturing them.",http://www.pbs.org/wnet/nature/holycow/
Is lamb red meat or white meat?,"Yes, lamb is a red meat. The amount of the protein myoglobin in animal muscles determines the color of meat. Lamb is called a red meat because it contains more myoglobin than chicken or fish. Other red meats are beef, veal, and pork.",http://asktheexpert.custhelp.com/app/answers/detail/a_id/1291/~/is-lamb-a-red-meat%3F
How many glasses of milk does a cow produce in its lifetime?,"One cow can produce 200,000 glasses of milk in its lifetime. In one year, a dairy cow produces 1,500 gallons, or 6,000 quarts of milk. The average U.S. dairy cow produces 22.5 quarts of milk per day.",http://www.nda.nebraska.gov/kids/fun_facts_book.pdf
Can chickens have twins in one egg?,"When two chicks hatch from the same egg, the egg usually has two yolks. Usually, one embryo out competes the other and only one chick survives to hatch. Many time both embryos die before hatch. We have no knowledge of Siamese twin chicks ever being hatched.",http://extension.psu.edu/4-h/projects/poultry/embryology/teacher-resources/faqs
What kind of fish is Chilean sea bass?,"This fish is often given the more appetizing name Chilean sea bass. Patagonian toothfish are found in the southern Atlantic, Pacific and Indian Oceans. They are common in waters off southern Chile and Argentina, as well as the islands off Antarctica.",http://seafood.edf.org/chilean-sea-bass#bmb=1
Where does a chicken nugget come from?,"The chicken nugget was invented in the 1950s by Robert C. Baker, a food science professor at Cornell University, and published as unpatented academic work. Dr. Baker's innovations made it possible to form chicken nuggets in any shape.",http://en.wikipedia.org/wiki/Chicken_nugget
Is cocoa bean a fruit?,Cacao (or cocoa) beans are technically not legumes but rather seeds of the fruit of the Theobroma cacao tree. Each pod-shaped fruit produces approximately 35-50 seeds surrounded by a sweet pulp.,http://depts.washington.edu/nutr/documents/Cacao_2013.pdf
Do monkeys eat bananas?,"Wild monkeys do eat bananas, but the bananas that monkeys are fed in zoos are cultivated for humans to have more sugar. These bananas are just too sweet for primates. Head of Conservation and Advocacy at the Paignton Zoo, Dr. Amy Plowman, says that giving the bananas to monkeys is like feeding them cake or chocolate.",http://www.businessinsider.com/stop-feeding-your-monkeys-bananas-2014-1
Can Animals Dream?,"In fact, they concluded that animals can have very complex dreams that include memories or replays of events that happened while they were awake. The researchers studied rats that had been trained to run on a track. They mapped and measured brain activity with electrodes while the rats were awake and running.",http://wonderopolis.org/wonder/do-animals-dream/
