Date,Content,Created by,Labels,Impressions,Reach,Clicks,Likes,Shares,Comments,Engagement,Engagement rate per impression (%),Engagement rate per reach (%),export.csv.content.videoView,Url
01/02/2024 02:28 PM EST -0500,"There are so many important reasons why people switch to a vegan or plant-based diet, but — in a world dominated by the meat industry and its aggressive marketing and lobbying tactics — it is not always easy to stick to our principles.  But just because we fell off the vegan wagon once does not mean we have to stay off it!  https://lnkd.in/gXnGYf8j",,,405,217,5,9,0,0,14,3.5,6.5,,https://www.linkedin.com/feed/update/urn:li:share:7148032205607321601
01/06/2024 08:48 AM EST -0500,"McCartney, who has long been vocal in her disdain for leather and fur, urged other designers to ditch animal materials and move to more sustainable plant-based alternatives  https://lnkd.in/gSa4kkqu",,,284,188,6,5,0,0,11,3.9,5.9,,https://www.linkedin.com/feed/update/urn:li:share:7149396192051814400
01/12/2024 11:38 AM EST -0500,"All animals who are farmed for dairy are subjected to repeated impregnation and the loss of their young. After all, the industry only makes its profits if it stops the calves from drinking the milk that their mothers produced for them.",Simon Plazolles-Hayes,,280,191,4,6,2,0,12,4.3,6.3,,https://www.linkedin.com/feed/update/urn:li:share:7151613449410592768
01/23/2024 11:34 AM EST -0500,"It is perfectly possible to get the protein you need from a plant-based diet. There is no doubt about that at all, but it is a good idea to know what we need and where to find it.",Simon Plazolles-Hayes,,298,197,9,9,0,0,18,5.7,9.1,,https://www.linkedin.com/feed/update/urn:li:share:7155598708661800961
01/24/2024 02:14 PM EST -0500,"Protein exists in different plant sources that don’t come with the same environmental toll, health risks or horrendous animal suffering that meat and dairy come with.  Here are the top 20 vegan protein sources to show how many amazing options there are!",Simon Plazolles-Hayes,,221,156,10,6,1,0,17,7.7,10.9,,https://www.linkedin.com/feed/update/urn:li:share:7156001216378925056
01/25/2024 04:09 PM EST -0500,"Whey is a by-product of dairy, so it is an animal product and, therefore, associated with all the cruelty inherent in dairy.  Luckily, many vegan protein powders do exactly the same job as whey and are tasty, effective, more ethical, and nutritious.",Simon Plazolles-Hayes,,388,252,9,8,0,1,18,4.6,7.1,,https://www.linkedin.com/feed/update/urn:li:share:7156392545386663936
01/27/2024 10:00 AM EST -0500,"As we learn about the complexity of plant life, we might consider our own behavior, and whether it is ethical to eat plants. As yet, the evidence of plants feeling pain is unconvincing but one day we may discover that they do experience something we would call pain. Until that day, what should we do?  https://lnkd.in/gvAKM8cj",Jamie Logan,,420,207,11,3,0,1,15,3.6,7.2,,https://www.linkedin.com/feed/update/urn:li:share:7157024500880969728
03/01/2024 00:13 PM EST -0500,"The UK Vegan & Animal Rights Conference 2024 is happening this April 13-14th!  There will be engaging programs, networking opportunities, and impactful animal rights advocacy.  Have you gotten your tickets yet? https://lnkd.in/g48unpcH",Jamie Logan,,291,193,3,4,0,0,7,2.4,3.6,,https://www.linkedin.com/feed/update/urn:li:share:7169379257524105216
03/06/2024 03:36 PM EST -0500,"Today, we celebrate together the incredible success of our campaign #HelpTheBuffaloesFromBrotas! 🎉✨  With your support, GenV will donate $10,000 to Ahimsa Sanctuario Vslrdarainha and Rancho Dos Gnomos, the sanctuaries that are taking care of the Buffaloes from Brotas ➔ $1 for every person who signed up to our challenges during this campaign! ⚡  We want to thank each one of you who signed up, shared, and supported this cause. We've shown that compassion moves mountains and makes a difference in the lives of animals. 💛",Jamie Logan,,325,217,4,8,0,1,13,4.0,6.0,,https://www.linkedin.com/feed/update/urn:li:share:7171242144454701056
03/19/2024 10:01 AM EDT -0400,"While the ethics of harvesting pearls is not the hottest topic in animal ethics, we still think it’s worthy of consideration. 17 million tonnes of bivalves are harvested every year for food and pearls, which in terms of individuals is far too many to count, so the potential suffering to them is unimaginable.  https://lnkd.in/gAAy9WKY",Simon Plazolles-Hayes,,408,291,6,4,1,0,11,2.9,3.8,,https://www.linkedin.com/feed/update/urn:li:share:7175853923939885056
03/26/2024 01:02 PM EDT -0400,"Evidence shows strong associations between eating red meat and developing colorectal cancer, and there is also evidence of links with pancreatic cancer and prostate cancer.",Simon Plazolles-Hayes,,317,229,3,3,1,0,7,2.2,3.1,,https://www.linkedin.com/feed/update/urn:li:share:7178436041693966337
03/27/2024 03:10 PM EDT -0400,"There’s just no commercially viable way to farm animals for human consumption that is sustainable for wildlife: it requires far too much land, water, and crops, whilst also polluting local ecosystems and driving climate change.",Simon Plazolles-Hayes,,618,393,5,2,0,0,7,1.1,1.8,,https://www.linkedin.com/feed/update/urn:li:share:7178830644729303041
04/11/2024 11:18 PM EDT -0400,"There is no doubt at all that pigs — as well as chickens, sheep, and cows — are intelligent beings, with complex inner lives and social structures. This should come as no surprise. But their intelligence is not the reason we advocate sparing their lives.",Simon Plazolles-Hayes,,1601,965,34,12,1,1,48,3.0,5.0,,https://www.linkedin.com/feed/update/urn:li:share:7184389270357385216
04/25/2024 09:30 AM EDT -0400,"🏔️ Embark on an Adventure of a Lifetime with GenV! 🏔️  Are you ready to challenge yourself while making a significant impact? Join us for the first-ever Hiking the High Tibetan Monasteries of Ladakh fundraising event! This unique, 8-day journey through the majestic Himalayas of Northern India is not just a hike; it’s a mission to support amazing farmed animal charities.  🌄 Experience breathtaking landscapes, authentic Buddhist monasteries, and the rich culture of Ladakh. Connect with fellow animal lovers and take a step beyond everyday choices to make a real difference.  👣 Sign Up Now: Dive into an unforgettable adventure while supporting a noble cause. Visit https://lnkd.in/g6pCFjT2 for more details and to secure your spot with a simple registration process.  📅 Date of the Trip: September 21-29, 2024 📍 Location: Ladakh, Northern India  Let’s hike, help, and transform lives together! #GenVAdventure #HikeForACause #LadakhChallenge",Jamie Logan,,1535,889,26,7,0,2,35,2.3,3.9,,https://www.linkedin.com/feed/update/urn:li:share:7189254321702596609
05/07/2024 11:02 AM EDT -0400,"Buffaloes are an important part of India’s beef and veal exports which were valued at $3.19 billion in the fiscal year 2023. Accounted for in dollars and by weight, their flesh is but a by-product of the White Revolution.  The dairy industry is the beef industry.",Simon Plazolles-Hayes,,945,668,12,10,0,0,22,2.2,3.3,,https://www.linkedin.com/feed/update/urn:li:share:7193626264853749760
05/09/2024 01:00 PM EDT -0400,"Rastafarianism, or more appropriately Rastafari, is a religion, a movement for justice, and a holistic way of living. Followers oppose oppression and authoritarianism, and seek peace and community in an anti-capitalist world.",Simon Plazolles-Hayes,,418,302,11,6,1,0,18,4.3,6.0,,https://www.linkedin.com/feed/update/urn:li:share:7194380722147635201
05/13/2024 11:19 AM EDT -0400,"Prawn and shrimp industries are some of the most environmentally destructive and ethically questionable industries on the planet, and there are countless reasons why eating prawns and shrimps is best avoided.",Simon Plazolles-Hayes,,469,387,7,4,1,0,12,2.6,3.1,,https://www.linkedin.com/feed/update/urn:li:share:7195804875333459970
05/15/2024 00:00 PM EDT -0400,"When a vegan and non-vegan embark on a relationship — or when someone within a relationship embarks on veganism — there can be a whole raft of challenges to overcome. Here, we examine some of the emotional and ethical trigger points, as well as the practicalities of creating a happy vegan-omni relationship.",Simon Plazolles-Hayes,,572,388,11,3,1,1,16,2.8,4.1,,https://www.linkedin.com/feed/update/urn:li:share:7196539908977524736
05/17/2024 10:05 AM EDT -0400,"With the advent of cheap genetic testing kits, it has become common to hear claims that our differing genetic profiles indicate we should all be eating diets that are tailored to us individually.  Is this true and if so, what does it mean for what we eat and how healthy we can be?",Simon Plazolles-Hayes,,327,229,4,3,0,0,7,2.1,3.1,,https://www.linkedin.com/feed/update/urn:li:share:7197235799761829889
05/17/2024 01:24 PM EDT -0400,"Soy is a food that has long been seen as a problem for the environment, particularly due to its connection with deforestation and the impact that has on the climate and on wildlife. Here we delve deeper, find out how and where soy is grown, the impacts it has, and who exactly is responsible for those.  Spoiler alert: it’s not the tofu-eaters.",Simon Plazolles-Hayes,,460,318,4,6,0,1,11,2.4,3.5,,https://www.linkedin.com/feed/update/urn:li:share:7197285894993661952
06/19/2024 10:41 AM EDT -0400,"There are tens of thousands of edible plants and many of us have barely scratched the surface. But we don’t need to go in search of the quirky or unusual… a good meal can be transformed into a great one with some very simple, everyday ingredients.",,,398,284,1,2,1,0,4,1.0,1.4,,https://www.linkedin.com/feed/update/urn:li:share:7209203582493982721
12/06/2023 11:00 AM EST -0500,There is a growing trend for farmers of animals to make a big change in their way of life and switch to growing plants instead.  Here we meet eight farmers who have already made the change.,,,0,0,0,15,0,1,16,0.0,0.0,,https://www.linkedin.com/feed/update/urn:li:share:7138195399512637441
12/14/2023 11:00 AM EST -0500,"There is a good chance a vegan will be sitting at your table, too. So, how do we cater for them, while making sure everyone has the beautiful traditional meal they love, and you don’t have to cook two entirely separate meals?",,,199,137,2,13,0,0,15,7.5,10.9,,https://www.linkedin.com/feed/update/urn:li:share:7141094503561560065
12/15/2023 11:00 AM EST -0500,"If you’re a vegan seeking a special gift for a loved one this holiday season or a non-vegan unsure about the perfect present for your vegan friend, you have come to the right place.",,,256,157,4,1,0,0,5,2.0,3.2,,https://www.linkedin.com/feed/update/urn:li:share:7141456888948244482
12/18/2023 11:00 AM EST -0500,"Benjamin was a poet, a writer, a musician, a husband, a campaigner, a professor, a martial artist, and a vegan.   He was also our friend, and it was our deep privilege to know him and to work with him.",,,251,177,3,7,0,0,10,4.0,5.6,,https://www.linkedin.com/feed/update/urn:li:share:7142544069817155585
12/20/2023 11:00 AM EST -0500,"To celebrate the season, we are sharing just a few of our most loved Christmas movies with a little tip for how we can carry each of their messages with us in our thoughts and actions.",,,292,161,7,2,0,0,9,3.1,5.6,,https://www.linkedin.com/feed/update/urn:li:share:7143268829614202880
12/27/2023 11:00 AM EST -0500,"New Year is a great time to embark on a different path, and trying vegan is one of the best things we can do for ourselves, the planet, other animals, and other people.",,,438,249,10,9,1,0,20,4.6,8.0,,https://www.linkedin.com/feed/update/urn:li:share:7145805542844678144
07/02/2024 09:11 AM EDT -0400,"As the climate and other environmental crises worsen, industries are exploring ways to reduce their impact on the planet. So we want to know, will farming insects for animal feed help protect our planet, or is it just another industry distraction?",Simon Plazolles-Hayes,,489,339,18,5,1,2,26,5.3,7.7,,https://www.linkedin.com/feed/update/urn:li:share:7213892050247639040
07/02/2024 10:19 AM EDT -0400,"The animal farming industry imprisons and slaughters millions of animals every day, in the worst conditions imaginable.  The vast majority are exploited by heartless corporations, so it may come as no surprise that their treatment of humans isn't better.",Simon Plazolles-Hayes,,313,198,9,3,1,0,13,4.2,6.6,,https://www.linkedin.com/feed/update/urn:li:share:7213909164538912768
07/04/2024 09:12 AM EDT -0400,"It’s always disappointing when a meal doesn’t hit the spot and leave you sated, but being vegan does not make this any more likely.",Simon Plazolles-Hayes,,250,155,2,1,0,0,3,1.2,1.9,,https://www.linkedin.com/feed/update/urn:li:share:7214617184667385856
07/15/2024 09:17 AM EDT -0400,"Cheese is often what people turn to when they stop eating meat. Unfortunately, the dairy industry is one of the cruelest forms of animal farming humans have cultivated.  Cheese is also not the artisan product many consumers believe it to be.",Simon Plazolles-Hayes,,298,226,7,6,0,0,13,4.4,5.8,,https://www.linkedin.com/feed/update/urn:li:share:7218604709534740480
07/17/2024 11:08 AM EDT -0400,We at Generation Vegan support the demonstrators and all Earth- and animal-defenders who peacefully stand up to Big Ag and ensure the world sees the huge damage it does to the planet and to all those who share it.,Simon Plazolles-Hayes,,291,212,11,3,0,0,14,4.8,6.6,,https://www.linkedin.com/feed/update/urn:li:share:7219357422513971200
07/18/2024 07:03 PM EDT -0400,I think we can all agree that factory farming sucks...  Or can we?,,,602,491,26,9,2,0,37,6.1,7.5,,https://www.linkedin.com/feed/update/urn:li:ugcPost:7219839297917476866
07/19/2024 10:11 AM EDT -0400,"Through these recipes, we invite you to discover a variety of delicious meals that highlight the fresh, seasonal ingredients and bold flavors that are the hallmark of Palestinian cooking.",Simon Plazolles-Hayes,,259,186,7,4,0,1,12,4.6,6.5,,https://www.linkedin.com/feed/update/urn:li:share:7220067747970342913
07/30/2024 10:00 AM EDT -0400,"With a balanced diet rich in plant proteins, I felt a huge difference in my energy and performance on and off the courts.  https://lnkd.in/gMpFMzZN",Simon Plazolles-Hayes,,74,55,1,2,1,0,4,5.4,7.3,,https://www.linkedin.com/feed/update/urn:li:share:7224051213133103104
